Geo_ID,Region,Total_Population,Total_Below_Poverty,Male_Population,Poverty_Male,Female_Population,Poverty_Female,White_Population,Poverty_White,Black_Population,Poverty_Black,AIAN_Population,Poverty_AIAN,Asian_Population,Poverty_Asian,NHPI_Population,Poverty_NHPI,Other_Population,Poverty_Other,Population_Less_HS,Poverty_Less_HS,Population_HS_Grad,Poverty_HS_Grad,Population_Some_College,Poverty_Some_College,Population_Bachelors_Higher,Poverty_Bachelors_Higher,Year
0100000US,United States,301535021,46215956,147399161,20850219,154135860,25365737,224197343,27951752,37200236,10099631,2465461,701213,14459936,1801196,493951,92647,14585241,3931397,28266989,7551483,56910186,7664865,58267597,5709144,57309785,2424395,2010
0100000US,United States,303778193,48452035,148591813,21825281,155186380,26626754,225678820,29260632,37510171,10543367,2458045,724528,14728302,1888398,491826,105739,14462257,4121868,27933848,7784811,57305844,8113171,59058822,6211352,58595451,2593232,2011
0100000US,United States,306086063,48760123,149759499,21910739,156326564,26849384,226850443,29493814,37929756,10665149,2481880,723169,15249305,1981423,529272,112822,14269431,3964694,27362602,7672024,57139231,8195271,60212178,6493555,60461158,2726930,2012
0100000US,United States,308196783,48810868,150918837,21938525,157277946,26872343,227738247,29701062,38237231,10538290,2440160,706256,15704766,2002107,508128,102153,14514331,3913285,27203151,7541384,57281001,8368788,60739033,6642558,62162431,2972533,2013
0100000US,United States,310899910,48208387,152143433,21590918,158756477,26617469,228731401,29193983,38699496,10434389,2509437,710293,16361024,2048589,540394,112840,14764447,3852708,26947989,7504708,57820355,8479243,61432225,6523713,63968747,2982201,2014
0100000US,United States,313476400,46153077,194584628,26960369,71173498,12955976,65570400,6220622,46436986,4192435,153427279,20599407,160049121,25553670,229710221,28027149,39016000,9905872,9671807,1782109,55356136,12505613,193033420,19985471,212883806,24570440,2015
0100000US,United States,315165470,44268996,194807318,25723818,71337528,12158773,67486960,6566059,47905549,4429465,154329859,19760056,160835611,24508940,229428321,26653418,39213327,9366792,10107167,1801745,56251155,11814468,192988215,19297823,214902129,24005833,2016
0100000US,United States,317741588,42583651,195788184,24648677,71729535,11546882,69590727,6734062,49500479,4581772,155668610,19004547,162072978,23579104,230282950,25668489,39704014,9122033,10398999,1741395,57679289,11173521,192792530,18604468,217688883,23405486,2017
0100000US,United States,319184033,41852315,195883446,24030690,71927050,11172384,71621407,7054887,51137318,4824093,156354521,18550942,162829512,23301373,230980752,25230693,39933631,8971239,10953573,1739271,58601179,11025445,192567751,18211567,219593723,23193433,2018
0100000US,United States,320118791,39490096,195703010,22504357,71922088,10417120,73579563,7162352,52782328,4985269,156743490,17473451,163375301,22016645,231191647,23828085,40291288,8557464,10986212,1674082,59226212,10201081,192289025,17352095,221309178,22277293,2019
0100000US,United States,324173084,41393176,197134161,23526341,71360032,10527694,76232382,8062382,54741794,5623616,159741355,18518155,164431729,22875021,198511109,19510415,38536055,8402643,41128818,6343653,61398400,10759082,188537199,17821856,224813465,24015573,2021
0100000US,United States,325521470,40951625,197858864,23192117,72582859,10430102,77793941,8675955,56421083,6176558,160772028,18281641,164749442,22669984,198385835,19544155,39053610,8317088,41008624,6059636,62385362,10465447,187936535,17808162,226238632,24100191,2022
0100000US,United States,327076658,40763043,197625231,22794675,71831442,10089894,79362401,8998714,57891437,6523104,161231593,18145866,165845065,22617177,198093644,19426587,39083010,8125920,41940586,6124618,63927863,10641251,187103200,17643424,228300724,24263673,2023
